销售单号,商品编码,商品名称,单位,拣货数量,长cm,宽cm,高cm,计算规则（L/kg),规则体积推算L,规格体积L,规则体积补充,备注：长宽高为一组；计算规则为二组；规则体积推算为三组；规则体积L+规则体积补充为四组
OM25062700005094,846698,[彩食鲜]豇豆,KG,1.14,,,,3.5,,,,
OM25062700006627,1191435,蒜米机剥,KG,2.69,,,,2.5,,,,
OM25062700007719,1271536,[彩食鲜]空心菜,KG,9.04,,,,7.0,,,,
OM25062700000855,949923,仔姜,KG,2.1,,,,2.5,,,,
OM25062800005133,1240808,螺丝椒,KG,10.03,,,,5.0,,,,
OM25062800005685,1491947,海白菜(冰鲜),KG,2.5,,,,2.8,,,,
OM25062700006667,1491407,牛蛙(活杀)(杀前150-250g/只),KG,20.0,,,,1.8,,,,
OW25062800000074,1234224,[彩食鲜]西葫芦,KG,2.38,,,,2.9,,,,
OM25062700007696,1098631,彩食鲜脱皮白芝麻,KG,1.5,,,,1.8,,,,
OW25062900001007,1498150,鲜香菇（去根）,KG,4.0,,,,3.5,,,,
OM25062700002413,2014446,干秋耳0.25kg,袋,1.0,16.0,22.0,2.5,,,,,
OM25062700002578,1538224,花生米0.5kg,袋,1.0,12.0,13.0,5.0,,,,,
OM25062700007669,2014567,大白豌豆0.5kg,袋,1.0,12.0,13.0,5.0,,,,,
OM25062900000330,1070692,彩食鲜东北绿豆,KG,5.0,,,,1.8,,,,
OM25062900000362,1531959,厚豆干（KG）,KG,15.0,,,,2.5,,,,
OM25062900000377,1610820,冷鲜梅花肉(黑猪),KG,2.0,,,,1.5,,,,
OM25062900000484,1287493,大土豆（去皮）,KG,2.56,,,,3.5,,,,
OM25062900001855,1065530,火葱,KG,0.5,,,,4.0,,,,
OM25062900001944,263859,胡萝卜,KG,2.55,,,,2.0,,,,
OM25062900000937,1493225,热鲜三黄鸡切块(约2*2cm),KG,2.1,,,,2.5,,,,
OM25062900001936,1271614,[彩食鲜]白地瓜,KG,0.62,,,,2.5,,,,
OM25062900001997,1177833,黄柠檬(100-150g),KG,1.55,,,,3.0,,,,
OM25062900003068,2014685,大白豆0.5kg,袋,1.0,12.0,13.0,5.0,,,,,
OM25062900000985,1556727,熟咸鸭蛋（枚）,枚,20.0,,,,,,0.1,0,
OM25062900002009,1559505,红皮洋葱,KG,5.0,,,,2.0,,,,
OM25062900003031,625713,白芹,KG,2.0,,,,4.0,,,,
OM25062900002055,560,红萝卜,KG,2.02,,,,2.0,,,,
OM25062900002041,1538210,绿豆0.5kg,袋,1.0,12.0,13.0,5.0,,,,,
OM25062900002164,1279167,[彩食鲜]绿豆芽,KG,0.6,,,,4.5,,,,
OM25062900002253,1189895,去皮甜玉米,KG,5.42,,,,3.5,,,,
OM25062900002253,317727,正大富硒蛋,KG,9.36,,,,2.0,,,,
OM25062900003357,1491344,草鱼(杀净对剖)(杀前2-3斤/条),KG,10.0,,,,1.8,,,,
OM25062900002400,1277745,冷鲜肋排(精品),KG,3.04,,,,2.8,,,,
OM25062900003519,846698,[彩食鲜]豇豆,KG,10.12,,,,3.5,,,,
OM25062900002562,787523,[彩食鲜]莴笋杆,KG,6.59,,,,2.5,,,,
OM25062900003573,1191435,蒜米机剥,KG,2.5,,,,2.5,,,,
OM25062900003366,1256502,小娃娃菜散装,KG,8.22,,,,7.0,,,,
OM25062900002399,1064285,[彩食鲜]油麦菜,KG,10.36,,,,7.0,,,,
OM25062900000305,953467,白萝卜,KG,19.41,,,,2.0,,,,
OM25062700006270,1547029,冻鸡膝软骨2kg/袋,袋,3.0,26.0,18.0,4.0,,,,,
OM25062900003748,1194070,鲜瘦肉（后腿）切丝（长约4cm）,KG,5.04,,,,1.8,,,,
OM25062900003761,1906910,[高原菜]小娃娃菜500g,包,1.0,,,,,1.4,,,
OM25062900003761,1068773,麒麟西瓜,KG,4.28,,,,2.5,,,,
OM25062900002840,1191435,蒜米机剥,KG,5.0,,,,2.5,,,,
OM25062900002843,1271493,[彩食鲜]胡萝卜,KG,2.07,,,,2.0,,,,
OM25062700006431,2032281,热鲜梅花肉切片(约3*3cm),KG,5.0,,,,1.8,,,,
OM25062700006431,2032281,热鲜梅花肉切片(约3*3cm),KG,5.02,,,,1.8,,,,
OM25062900003572,1639288,黄晶皮蛋（鸭蛋皮蛋）,个,90.0,,,,,,0.1,0,
OM25062900003573,1255719,新藕,KG,10.1,,,,2.5,,,,
OW25062900000095,1166024,[彩食鲜]西兰花,KG,4.1,,,,5.0,,,,
OM25062900003696,1552059,青小米椒（去蒂冒）,KG,1.54,,,,3.5,,,,
OM25062900003748,167331,小米椒,KG,0.54,,,,5.0,,,,
OM25062900003748,457,白菜,KG,5.52,,,,2.8,,,,
OM25062900002164,304617,黄花园黄豆酱油715ml,瓶,14.0,21.0,7.0,7.0,,,,,
OM25062700004040,1186656,五得利六星馒头用小麦粉25kg,袋,1.0,68.0,43.0,13.0,,,,,
OM25061900007357,943740,天友家里养头奶牛鲜牛奶238ml,瓶,8.0,10.0,6.0,4.0,,,,,
OM25062900002041,18224,百味佳万用香脆炸粉120g,盒,9.0,15.5,10.5,3.5,,,,,
OM25062700006783,8279,恒顺香醋（B香）500ml,瓶,3.0,24.0,5.0,6.0,,,,,
OM25062700005893,246973,双塔龙口粉丝320g,包,1.0,27.0,18.0,4.0,,,,,
OW25062700000087,1068773,麒麟西瓜,KG,16.18,,,,2.5,,,,
OM25062900003859,1177409,小大葱,KG,1.5,,,,4.5,,,,
OM25062900003018,1706377,[彩食鲜]地瓜叶,KG,5.06,,,,7.0,,,,
OM25062700006552,2025588,粗地瓜粉2.5kg,袋,2.0,34.0,16.5,8.5,,,,,
OM25062900003913,1447952,酱肉包80g*3,包,3.0,15.0,8.0,10.0,,,,,
OM25062900003913,855535,鲜纤排,KG,3.16,,,,2.8,,,,
OM25062900003926,899687,[彩食鲜]长丝瓜,KG,2.1,,,,2.9,,,,
OM25062900005005,911920,鲜木耳大,KG,4.08,,,,4.5,,,,
OM25062900003940,1275567,鲜三黄鸡（烧毛）,KG,8.92,,,,2.5,,,,
OM25062900003983,1922734,糯米烧麦50g*6,包,1.0,15.0,8.0,10.0,,,,,
OM25062900005144,1030017,冻鸡全翅(100-120g),KG,10.0,,,,2.5,,,,
TOW0X2250627001572,1422849,徐福记香酥鸡蛋味减糖沙琪玛469g,包,12.0,32.0,20.0,12.0,,,,,
TOW0X2250627001572,17692,上好佳鲜虾片膨化食品80g,袋,12.0,18.0,15.0,10.0,,,,,
OM25062900002843,1275597,热鲜土母鸡切块(约3*3cm),KG,3.19,,,,2.5,,,,
OM25062900005135,1182504,鲜纤排切块,KG,2.0,,,,2.8,,,,
OM25062900004078,324454,河粉（鲜）,KG,4.0,,,,2.5,,,,
OM25062900005175,1211346,长茄,KG,10.1,,,,4.5,,,,
TOW0X2250627000591,1649836,有友山椒凤爪（山椒味）188g,袋,35.0,17.0,15.0,6.0,,,,,
OM25062900003474,1194826,甜王西瓜,KG,18.54,,,,2.5,,,,
OM25062900005166,1538232,黑米0.5kg,袋,1.0,12.0,13.0,5.0,,,,,
OM25062900004271,1130847,土豆（切片）1.5kg,袋,10.0,,,,,5.25,,,
OM25062900005343,1099512,独头蒜（去皮）1.5kg,份,8.0,,,,,5.25,,,
OM25062900005336,1448307,白面馒头100g*4,袋,2.0,20.0,12.0,10.0,,,,,
OM25062700007696,1456907,冻耗儿鱼(50-100)(国产) 包冰率20%,KG,1.7,,,,2.5,,,,
OM25062900004376,1177409,小大葱,KG,0.5,,,,4.5,,,,
OM25062900004328,2014466,干小木耳0.5kg(B),袋,1.0,19.0,7.0,27.0,,,,,
OM25062900004355,1566521,冷鲜五花肉(精品)(烧洗),KG,2.05,,,,1.5,,,,
OM25062900004485,2032017,冻琵琶腿切块(约2.5*2.5cm),KG,12.5,,,,2.5,,,,
OM25062900005597,852439,[彩食鲜]黄瓜,KG,2.54,,,,2.0,,,,
OM25062900005616,441,上海青,KG,5.64,,,,7.0,,,,
OM25062900004530,2007140,[彩食鲜]娃娃菜（袋装）,包,6.0,,,,,,1.4,0,
OM25062900005633,1035251,思念白糯小圆子500g,袋,1.0,20.0,4.0,8.0,,,,,
OM25062900004530,1227694,泡红圆椒500g,包,4.0,23.0,15.0,3.0,,,,,
OM25062900005003,7560,蒙牛纯牛奶1000ml,盒,4.0,20.0,6.0,9.0,,,,,
TOWB69250629000400,1396091,佳仙原味冰粉粉40g,包,20.0,12.0,11.0,1.0,,,,,
OM25062900005719,846698,[彩食鲜]豇豆,KG,5.0,,,,3.5,,,,
OM25062900005719,1305176,金沙河鸡蛋挂面把装（细）2kg,把,2.0,25.0,12.0,10.0,,,,,
OM25062900004666,1084479,西兰花,KG,2.0,,,,5.0,,,,
OM25062900004666,1493135,热鲜三黄鸡切块(约3*3cm),KG,2.06,,,,2.5,,,,
OM25062900004677,1064285,[彩食鲜]油麦菜,KG,5.26,,,,7.0,,,,
OM25062900004677,1068773,麒麟西瓜,KG,10.4,,,,2.5,,,,
OM25062900000305,1275567,鲜三黄鸡（烧毛）,KG,20.26,,,,2.5,,,,
OM25062900005582,1531959,厚豆干（KG）,KG,0.5,,,,2.5,,,,
OM25062900005626,1189895,去皮甜玉米,KG,6.14,,,,3.5,,,,
OM25062900005653,1347186,[彩食鲜]白豇豆,KG,2.5,,,,3.5,,,,
OM25062900005071,179296,李锦记香辣酱205g,瓶,12.0,6.5,6.5,9.2,,,,,
OM25062900005626,7714,李锦记番茄沙司340g,瓶,5.0,20.0,5.5,5.5,,,,,
OM25062900004519,582023,安琪无铝害复配油条膨松剂 250g,袋,3.0,21.0,17.5,1.0,,,,,
TOWB69250629000402,1246613,桥头香辣蘸料100g,袋,1.0,24.0,16.0,1.0,,,,,
TOWC57250629001439,1024537,君意家乡豆豉150g,包,1.0,17.5,13.5,2.0,,,,,
OM25062900004712,457,白菜,KG,1.92,,,,2.8,,,,
OM25062900005810,1631663,白砂糖500g,份,1.0,19.0,12.0,4.0,,,,,
OM25062900004742,434,芥兰,KG,1.12,,,,7.0,,,,
OM25062900005788,1177160,冷鲜猪肉馅(前腿瘦肉）,KG,0.77,,,,1.5,,,,
OM25062900005788,1179973,白面条（细面）,KG,1.52,,,,2.5,,,,
OM25062700005980,846698,[彩食鲜]豇豆,KG,13.96,,,,3.5,,,,
OM25062900005196,2014685,大白豆0.5kg,袋,1.0,12.0,13.0,5.0,,,,,
OM25062900002438,1538191,圆糯米0.5kg,袋,3.0,14.0,18.0,2.0,,,,,
OM25062900003397,1609821,三线腊肉（烧/洗）,KG,6.34,,,,3.0,,,,
OM25062700004669,1064285,[彩食鲜]油麦菜,KG,10.44,,,,7.0,,,,
OM25062900004879,1271499,[彩食鲜]平包甘蓝,KG,2.6,,,,2.8,,,,
OM25062900004879,1347228,[彩食鲜]黄皮美人椒,KG,3.02,,,,5.0,,,,
OM25062900005778,756962,珍爱婴儿柔湿巾80片,包,60.0,19.0,6.0,10.0,,,,,
TOWB69250629000473,2014540,红糖板0.5kg,袋,1.0,7.0,7.0,20.0,,,,,
OM25062900006017,1099516,紫长茄（清洗）350g,份,10.0,,,,,1.225,,,
OM25062900006023,1803653,红牛角椒（去把）0.5kg,袋,3.0,,,,,1.75,,,
OM25062900001340,1796329,海白虾(全活)(30-40头/斤),KG,2.5,,,,6.0,,,,
OM25062700002693,1877066,天友新重庆风味酸牛奶（原味）150g*8,组,3.0,20.0,10.0,12.0,,,,,
OM25062900005845,1116454,蒜苗,KG,1.0,,,,4.0,,,,
OM25062700005693,1064285,[彩食鲜]油麦菜,KG,11.3,,,,7.0,,,,
OM25062700002528,1991234,米蕉(100g-150g),KG,2.68,,,,4.5,,,,
OM25062900000937,929348,天友经典原味酸牛奶160g（8连杯）,组,4.0,8.0,8.0,12.0,,,,,
OM25062900007097,368794,桥头香辣粉蒸肉调料220g,袋,4.0,27.0,18.5,1.0,,,,,
OW25062900000095,1179974,白面条（韭菜叶面）,KG,3.0,,,,2.5,,,,
OM25062900000362,1362929,热鲜二刀肉(烧毛),KG,8.38,,,,1.8,,,,
OM25062900000231,1631663,白砂糖500g,份,1.0,19.0,12.0,4.0,,,,,
OM25062900004530,1211346,长茄,KG,11.34,,,,4.5,,,,
OM25062900004502,1182504,鲜纤排切块,KG,1.93,,,,2.8,,,,
OM25062900005005,1276101,热鲜筒骨(带肉率15%)切块(约4*5cm),KG,7.52,,,,2.8,,,,
TOW0M9250623001478,402739,双嗒黑芝麻油500ml,瓶,40.0,7.0,7.0,25.0,,,,,
OW25062700000040,1211346,长茄,KG,5.24,,,,4.5,,,,
OM25062700005018,1991252,热鲜牛吊龙切片,KG,7.18,,,,2.3,,,,
OW25062700000104,1598166,玉米萌萌猫爪糕30g*6个,包,6.0,15.0,8.0,10.0,,,,,
OM25062700005767,1065509,黄豆芽,KG,1.04,,,,5.0,,,,
OM25062700007262,852411,[彩食鲜]菜心,KG,4.3,,,,7.0,,,,
OM25062700006409,1552094,青美人椒(去蒂冒）,KG,2.54,,,,3.5,,,,
OM25062700005588,1552045,小葱（去根清洗）,KG,0.75,,,,3.5,,,,
OM25062700005588,2014900,干小木耳0.1kg,袋,1.0,15.0,10.0,2.0,,,,,
OM25062700007689,1142550,折耳根,KG,1.0,,,,4.0,,,,
OW25062800001010,1166049,[彩食鲜]鲜香菇,KG,2.54,,,,4.5,,,,
OM25062800005133,1531569,毛血旺（个）,个,36.0,,,,,,1.0,0,
OM25062800005153,1116454,蒜苗,KG,0.29,,,,4.0,,,,
OM25062800002222,1166163,[彩食鲜]白莲藕,KG,2.5,,,,2.5,,,,
OM25062700006781,1639313,五香萝卜块（北极源）,KG,0.52,,,,2.5,,,,
OM25062800000098,1098630,黑米粉,KG,1.52,,,,1.5,,,,
OM25062800001089,1362929,热鲜二刀肉(烧毛),KG,7.78,,,,1.8,,,,
OM25062700006552,852432,[彩食鲜]青椒,KG,5.02,,,,5.0,,,,
OW25062700000022,1413540,豆沙小谩头200g约8-9个(D+2),包,15.0,10.0,2.0,13.0,,,,,
OM25062700001673,2014729,白砂糖2.5kg,袋,1.0,23.0,9.0,20.0,,,,,
OM25062700001742,1347228,[彩食鲜]黄皮美人椒,KG,6.5,,,,5.0,,,,
OM25062700004395,1277778,老南瓜（去皮）,KG,3.0,,,,3.5,,,,
OM25062700004395,1610820,冷鲜梅花肉(黑猪),KG,3.58,,,,1.5,,,,
OM25062700006006,1166163,[彩食鲜]白莲藕,KG,10.22,,,,2.5,,,,
OM25062700006006,949923,仔姜,KG,3.04,,,,2.5,,,,
OM25062700005771,1131113,青小米椒,KG,2.5,,,,5.0,,,,
OM25062700007680,1286234,彩食鲜玉米粒,KG,1.02,,,,3.5,,,,
OM25062700007700,1065509,黄豆芽,KG,2.18,,,,5.0,,,,
OM25062700007769,1413562,玉米窝窝头50g*3,包,4.0,15.0,8.0,10.0,,,,,
OW25062800000074,1064285,[彩食鲜]油麦菜,KG,1.58,,,,7.0,,,,
OM25062800005235,1631613,单晶冰糖500g,份,1.0,19.0,12.0,4.0,,,,,
OM25062800000677,787458,[彩食鲜]香菜,KG,0.56,,,,6.0,,,,
OM25062800002222,457,白菜,KG,9.68,,,,2.8,,,,
OM25062700007768,1140523,[彩食鲜]白萝卜,KG,4.43,,,,2.0,,,,
OM25062800001049,1902087,白心火龙果(500-600g),KG,1.56,,,,2.0,,,,
OM25062800001089,1131113,青小米椒,KG,2.02,,,,5.0,,,,
OM25062700006452,1631663,白砂糖500g,份,1.0,19.0,12.0,4.0,,,,,
OM25062900000231,317132,黄皮美人椒,KG,1.54,,,,5.0,,,,
OM25062700007065,1538210,绿豆0.5kg,袋,1.0,12.0,13.0,5.0,,,,,
OM25062900000305,1422087,热鲜白条鸭(净膛),KG,16.94,,,,2.5,,,,
OM25062900000357,1167201,圣女果小番茄,KG,4.5,,,,2.5,,,,
OM25062900001341,1179974,白面条（韭菜叶面）,KG,2.56,,,,2.5,,,,
OM25062900000376,973452,[彩食鲜]菠菜,KG,6.1,,,,7.0,,,,
OM25062900000388,1309382,黄短豆芽,KG,1.18,,,,5.0,,,,
OM25062900001570,1122790,鲜里脊肉切丝（3mm）,KG,2.54,,,,1.8,,,,
OM25062700005980,1700370,松散甘蓝去毛叶,KG,10.62,,,,2.8,,,,
OM25062700007689,1193770,莴笋头（去皮）,KG,5.5,,,,3.5,,,,
OM25062900000881,1290408,[彩食鲜]老姜,KG,1.52,,,,4.0,,,,
OW25062900001075,1415284,肉丝瓜,KG,10.24,,,,2.9,,,,
OM25062900001891,1630504,[彩食鲜]小黄葱,KG,1.0,,,,4.0,,,,
OM25062900000937,1559505,红皮洋葱,KG,2.5,,,,2.0,,,,
OM25062900000937,949923,仔姜,KG,2.7,,,,2.5,,,,
OM25062900000330,953467,白萝卜,KG,21.61,,,,2.0,,,,
OM25062900001908,1131113,青小米椒,KG,4.03,,,,5.0,,,,
OM25062900001936,1551872,鲜前腿肉（整）去皮,KG,3.01,,,,1.8,,,,
OM25062900000975,264396,红美人椒,KG,1.07,,,,5.0,,,,
OM25062900000985,1585968,热鲜牛里脊去筋膜,KG,2.67,,,,2.3,,,,
OM25062900002098,1065509,黄豆芽,KG,2.08,,,,5.0,,,,
OM25062900002098,1165949,[彩食鲜]沙地蜜薯,KG,5.06,,,,1.5,,,,
OM25062900002077,1488672,冷鲜梅花肉切丝(长约3cm),KG,2.06,,,,1.5,,,,
OW25062900000103,266092,魔芋,KG,2.0,,,,2.5,,,,
OM25062900003245,1271589,[彩食鲜]红彩椒,KG,1.16,,,,5.0,,,,
OW25062900000103,1630594,[彩食鲜]本地四季豆,KG,2.0,,,,3.5,,,,
OM25062900003269,560,红萝卜,KG,2.5,,,,2.0,,,,
OM25062900002292,1532153,薄豆干（KG）,KG,1.0,,,,2.5,,,,
OM25062900002264,1133453,香葱水洗,KG,0.25,,,,6.0,,,,
OM25062900002311,1491947,海白菜(冰鲜),KG,0.5,,,,2.8,,,,
OM25062900003357,1536007,热鲜猪心,KG,5.0,,,,2.8,,,,
OM25062900002311,1347140,[彩食鲜]苦茭,KG,1.5,,,,4.0,,,,
OM25062700005980,1266848,油麦菜,KG,10.1,,,,7.0,,,,
OM25062900003572,855535,鲜纤排,KG,77.5,,,,2.8,,,,
OM25062900003573,1706377,[彩食鲜]地瓜叶,KG,1.52,,,,7.0,,,,
OM25062900003725,570,南瓜,KG,3.32,,,,1.6,,,,
OM25062900003602,1483606,冷鲜五花肉(精品),KG,5.0,,,,1.5,,,,
OM25062900002616,1191435,蒜米机剥,KG,1.5,,,,2.5,,,,
OM25062900003725,317132,黄皮美人椒,KG,1.52,,,,5.0,,,,
OM25062900003748,2112,青梗花菜,KG,6.28,,,,5.0,,,,
OM25062700003786,1279229,西州蜜哈密瓜(1.5-2kg),KG,15.28,,,,2.5,,,,
OM25062900002909,787432,[彩食鲜]鲜杏鲍菇,KG,7.5,,,,4.5,,,,
OM25062900003859,1551826,鲜猪前蹄切块（约2*3cm）,KG,9.94,,,,2.5,,,,
OW25062900001036,1116596,金龙鱼精炼一级菜籽油非转压榨10L,桶,1.0,19.0,19.0,42.0,,,,,
OM25062700000717,1877066,天友新重庆风味酸牛奶（原味）150g*8,组,1.0,20.0,10.0,12.0,,,,,
OM25062900003575,811037,山城冰爽啤酒500ml,听,4.0,16.0,6.5,6.5,,,,,
OW25062900001029,1182462,红蜻蜓物理压榨一级菜籽油5L,瓶,4.0,34.0,14.0,14.0,,,,,
OM25062900002046,1182462,红蜻蜓物理压榨一级菜籽油5L,瓶,1.0,34.0,14.0,14.0,,,,,
OM25062800000551,14044,农夫山泉天然水550ml,瓶,240.0,21.0,6.0,6.0,,,,,
OM25062700001729,1170155,秋霞火锅底料 400g,袋,2.0,18.0,26.0,1.0,,,,,
OM25062900002993,1639288,黄晶皮蛋（鸭蛋皮蛋）,个,5.0,,,,,,0.1,0,
OM25062900003780,843259,毛芋仔（去皮）,KG,9.0,,,,3.5,,,,
OM25062900003859,1064285,[彩食鲜]油麦菜,KG,7.78,,,,7.0,,,,
OM25062700003857,859330,海天上色好老抽4.9L,桶,1.0,34.0,14.0,14.0,,,,,
OM25062700005129,2015097,小西米0.5kg,袋,1.0,21.0,15.0,2.9,,,,,
OM25062700007235,652806,椰树汁听装（整件）245ml*24,件,1.0,33.3,22.4,14.5,,,,,
OM25062800005235,825420,福临门非转基因一级菜籽油5L,瓶,1.0,17.0,17.0,35.0,,,,,
OM25062900002843,837522,天友经典原味酸牛奶160g,杯,60.0,8.0,8.0,12.0,,,,,
OM25062900003575,1794368,紫菜20g,袋,18.0,,,,,,0.6,,
OM25062900002293,18224,百味佳万用香脆炸粉120g,盒,12.0,15.5,10.5,3.5,,,,,
OM25062900005005,1997803,[彩食鲜]芹菜,KG,0.5,,,,4.0,,,,
OM25062900003940,1133453,香葱水洗,KG,0.5,,,,6.0,,,,
OM25062900003940,1447952,酱肉包80g*3,包,2.0,15.0,8.0,10.0,,,,,
OW25062900000124,1191435,蒜米机剥,KG,0.58,,,,2.5,,,,
OM25062900002993,1631663,白砂糖500g,份,1.0,19.0,12.0,4.0,,,,,
TOW0X2250627000591,1638348,三只松鼠开心果100g,袋,24.0,15.0,13.5,2.0,,,,,
TOW0X2250627001572,1425643,百草味弹弹鱼豆腐（烧烤味）135g,包,20.0,15.0,12.0,4.0,,,,,
OM25062900004026,1849771,彩食鲜鸡杂(QW),KG,6.0,,,,2.5,,,,
OM25062900005140,1225953,冻一号肥牛卷,KG,6.65,,,,5.0,,,,
OM25062900000985,1141026,彩食鲜胡椒粉,KG,0.5,,,,2.5,,,,
OM25062900003863,1166268,[彩食鲜]娃娃菜约500g/包,包,12.0,,,,,1.4,,,
OM25062900005328,1122774,鲜瘦肉前腿切丝（约3mm）,KG,1.06,,,,1.8,,,,
OM25062900005337,1174210,脆山药,KG,1.28,,,,4.0,,,,
OM25062900004271,1099517,大蒜（去皮）2.5kg,份,1.0,,,,,8.75,,,
OM25062900005331,1720447,土豆胡萝卜（切粒）组合400g,份,1.0,,,,,1.4,,,
OM25062900005339,1167201,圣女果小番茄,KG,0.5,,,,2.5,,,,
OM25062900004328,1179974,白面条（韭菜叶面）,KG,1.04,,,,2.5,,,,
OM25062900004327,619,菜椒,KG,5.04,,,,5.0,,,,
OM25062900005454,1849761,彩食鲜牛后腿瘦肉(QW),KG,1.64,,,,2.3,,,,
OM25062900002046,1359782,冻鸡翅根(50g+)1kg/袋,袋,6.0,26.0,18.0,2.0,,,,,
OM25062900004471,1256113,鲜猪肉馅(7肥3瘦),KG,2.51,,,,2.8,,,,
OM25062700007689,973452,[彩食鲜]菠菜,KG,6.64,,,,7.0,,,,
OM25062900004376,1483637,冷鲜五花肉(烧毛),KG,6.11,,,,1.5,,,,
OM25062900005578,1070673,彩食鲜红糖板,KG,1.0,,,,1.5,,,,
OM25062900004502,317132,黄皮美人椒,KG,1.54,,,,5.0,,,,
OM25062900005597,954927,鲜猪肉馅（五花）,KG,2.02,,,,1.8,,,,
OM25062900004519,1070687,彩食鲜花生米,KG,25.0,,,,1.8,,,,
OM25062900000305,1266848,油麦菜,KG,10.18,,,,7.0,,,,
OM25062900005399,1750123,圆糯米5kg,袋,1.0,41.0,29.0,6.5,,,,,
OM25062900005003,1182462,红蜻蜓物理压榨一级菜籽油5L,瓶,5.0,34.0,14.0,14.0,,,,,
OM25062900005144,1227754,红二荆条500g,包,5.0,23.0,15.0,3.0,,,,,
OM25062900005597,1145009,晓蜜25号哈密瓜(1.5-2kg),KG,5.35,,,,2.5,,,,
OM25062900004530,1559505,红皮洋葱,KG,10.02,,,,2.0,,,,
OM25062900005066,1538171,糙米0.5kg,袋,5.0,12.0,13.0,5.0,,,,,
OM25062900005454,1038806,伊利舒化无乳糖高钙型牛奶220ml*12,提,1.0,35.0,22.0,10.5,,,,,
TOWB69250629000404,1227753,泡小姜5kg,包,1.0,32.0,20.0,10.0,,,,,
OM25062900005745,1084528,韭菜,KG,0.6,,,,4.0,,,,
OM25062900005312,7579,伊利纯牛奶250ml,盒,2.0,10.5,6.5,4.0,,,,,
OM25062900003678,1611766,[彩食鲜]进口香蕉,KG,9.8,,,,4.5,,,,
OW25062900000189,167331,小米椒,KG,0.53,,,,5.0,,,,
OM25062900000305,317132,黄皮美人椒,KG,8.02,,,,5.0,,,,
OM25062900005812,1279167,[彩食鲜]绿豆芽,KG,4.18,,,,4.5,,,,
OM25062900004832,1065604,胡萝卜B,KG,1.61,,,,2.0,,,,
OM25062900004519,1558251,山奈（500g/袋）,袋,1.0,25.0,18.0,3.0,,,,,
OM25062900004460,671420,[彩食鲜]木耳菜,KG,8.24,,,,7.0,,,,
OM25062700005136,317727,正大富硒蛋,KG,21.0,,,,2.0,,,,
OM25062700006676,1296303,大号饺子皮(直径9.5cm),KG,5.0,,,,2.0,,,,
OM25062900005778,158106,威猛先生松木清香洁厕液900g,瓶,12.0,23.0,8.5,10.0,,,,,
OM25062900006042,1258024,本地白壳蛋,KG,4.04,,,,2.0,,,,
OM25062900006047,1191435,蒜米机剥,KG,0.25,,,,2.5,,,,
OM25062900004953,1639288,黄晶皮蛋（鸭蛋皮蛋）,个,6.0,,,,,,0.1,0,
OM25062700007750,1552051,鲜五花肉（精品）烧,KG,5.4,,,,1.5,,,,
OM25062900005810,2024418,青脆李(15-25g),KG,3.6,,,,2.5,,,,
OM25062700006768,1552051,鲜五花肉（精品）烧,KG,7.65,,,,1.5,,,,
OM25062700003763,899687,[彩食鲜]长丝瓜,KG,16.76,,,,2.9,,,,
OM25062900007097,843259,毛芋仔（去皮）,KG,1.04,,,,3.5,,,,
TOWB69250629001551,796358,晶心绿色食品加碘盐320g,袋,10.0,14.0,10.0,2.0,,,,,
OW25062900001095,211,冻鸭边腿L,KG,2.44,,,,2.5,,,,
OW25062900000145,1610820,冷鲜梅花肉(黑猪),KG,1.92,,,,1.5,,,,
OM25062900002292,2014840,干银耳花0.5kg,袋,1.0,16.0,22.0,5.0,,,,,
OM25062900005443,1531904,特色醪糟（KG）,KG,1.5,,,,2.3,,,,
OM25062900003160,1566521,冷鲜五花肉(精品)(烧洗),KG,5.88,,,,1.5,,,,
OM25062700001673,1141038,彩食鲜新一代干辣椒,KG,2.5,,,,9.0,,,,
OW25062700001096,1182504,鲜纤排切块,KG,8.01,,,,2.8,,,,
OM25062700005094,1643148,鲜粉条,KG,0.76,,,,2.5,,,,
OM25062700006442,787458,[彩食鲜]香菜,KG,2.56,,,,6.0,,,,
OW25062700000087,317146,老姜,KG,2.1,,,,4.0,,,,
OM25062700006667,1284806,[彩食鲜]小米椒,KG,1.58,,,,5.0,,,,
OM25062700007719,651529,油豆泡,KG,1.0,,,,2.5,,,,
OM25062700005018,787458,[彩食鲜]香菜,KG,0.52,,,,6.0,,,,
OM25062700006768,1224901,去皮鹌鹑蛋（熟）,KG,5.0,,,,2.5,,,,
OM25062700006785,1551851,荷兰豆(去茎),KG,1.02,,,,3.5,,,,
OM25062700002570,1226142,老豆腐（石膏老豆腐）1kg,包,5.0,20.0,20.0,3.6,,,,,
OM25062800005125,1169179,红薯（去皮）,KG,1.0,,,,3.5,,,,
OM25062800004777,973452,[彩食鲜]菠菜,KG,0.56,,,,7.0,,,,
OM25062800000677,1225645,新蒜苔,KG,7.72,,,,4.0,,,,
OM25062800001089,1492271,水发品(鱿鱼),KG,2.5,,,,2.0,,,,
OM25062700006552,1070708,彩食鲜干香菇,KG,2.5,,,,30.0,,,,
OW25062600000205,1285134,冷鲜五花肉(烧洗),KG,3.64,,,,1.5,,,,
OM25062700001742,1301334,鲜通排,KG,5.24,,,,2.8,,,,
OM25062700003857,1211346,长茄,KG,5.16,,,,4.5,,,,
OM25062700007065,1491286,花蛤(活)(40-50个/斤),KG,9.0,,,,8.0,,,,
